task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	7f/7192e3	765208	IdentifyCoreGenes	COMPLETED	0	2025-02-07 20:20:44.957	5m 58s	5m 7s	95.9%	5 GB	19.9 GB	34 MB	2.1 MB
17	8c/13b14d	766648	InvokePreparePlotData (16)	COMPLETED	0	2025-02-07 20:27:07.810	3m 20s	3m 1s	91.3%	360.6 MB	701.5 MB	1.7 GB	16.5 KB
2	26/70a3ec	766552	InvokePreparePlotData (1)	COMPLETED	0	2025-02-07 20:26:45.413	3m 57s	3m 34s	89.2%	364.1 MB	707.9 MB	2.8 GB	32.6 KB
19	c0/9600fc	766652	InvokePreparePlotData (18)	COMPLETED	0	2025-02-07 20:27:08.566	3m 34s	2m 22s	92.0%	373.2 MB	714.4 MB	1.1 GB	13.8 KB
131	ad/821185	766909	InvokePreparePlotData (130)	COMPLETED	0	2025-02-07 20:27:43.941	3m 14s	2m 35s	92.1%	361.3 MB	702.5 MB	1.2 GB	9.1 KB
134	fa/922eb2	766911	InvokePreparePlotData (133)	COMPLETED	0	2025-02-07 20:27:44.288	3m 14s	2m 10s	93.1%	372.6 MB	712.4 MB	1.3 GB	10.7 KB
138	38/dd042d	766921	InvokePreparePlotData (137)	COMPLETED	0	2025-02-07 20:27:45.890	3m 12s	2m 38s	89.9%	365.6 MB	726.2 MB	140.3 MB	8.8 KB
226	1a/6e389e	767110	InvokePreparePlotData (225)	COMPLETED	0	2025-02-07 20:28:16.241	3m 11s	2m 44s	88.8%	357.3 MB	697.2 MB	550.2 MB	8.3 KB
39	a7/f856fc	766702	InvokePreparePlotData (38)	COMPLETED	0	2025-02-07 20:27:15.405	4m 27s	4m 7s	93.5%	387 MB	731.3 MB	1.3 GB	13.2 KB
77	fc/4cd48a	766782	InvokePreparePlotData (76)	COMPLETED	0	2025-02-07 20:27:27.514	4m 15s	3m 37s	92.2%	384.8 MB	726.4 MB	800.4 MB	11.2 KB
85	fe/703389	766798	InvokePreparePlotData (84)	COMPLETED	0	2025-02-07 20:27:29.879	4m 13s	3m 13s	91.0%	356.6 MB	699.7 MB	1.2 GB	11.2 KB
86	b0/534ee9	766802	InvokePreparePlotData (85)	COMPLETED	0	2025-02-07 20:27:30.481	4m 12s	3m 32s	95.5%	383.2 MB	724.6 MB	1.5 GB	9.6 KB
130	eb/2d1a71	766902	InvokePreparePlotData (129)	COMPLETED	0	2025-02-07 20:27:43.035	4m	2m 18s	92.2%	372.8 MB	726.1 MB	1.3 GB	9.8 KB
238	59/22ade4	767137	InvokePreparePlotData (237)	COMPLETED	0	2025-02-07 20:28:20.397	3m 23s	2m 26s	91.4%	375.7 MB	714.6 MB	234.8 MB	9.3 KB
178	f0/a93a7b	767003	InvokePreparePlotData (177)	COMPLETED	0	2025-02-07 20:27:59.157	3m 59s	3m 16s	92.6%	368.7 MB	710.5 MB	2.3 GB	14.2 KB
9	89/f2c84c	766595	InvokePreparePlotData (8)	COMPLETED	0	2025-02-07 20:26:55.545	5m 17s	5m 1s	93.4%	416 MB	757.8 MB	849.1 MB	14.5 KB
129	ae/3a7b32	766904	InvokePreparePlotData (128)	COMPLETED	0	2025-02-07 20:27:43.358	4m 44s	3m 23s	89.4%	356.3 MB	708 MB	1.4 GB	10.8 KB
211	a1/5d780f	767075	InvokePreparePlotData (210)	COMPLETED	0	2025-02-07 20:28:10.644	4m 17s	4m 6s	90.7%	367.6 MB	713.9 MB	1.2 GB	9.6 KB
224	d6/f6d030	767101	InvokePreparePlotData (223)	COMPLETED	0	2025-02-07 20:28:14.909	4m 13s	2m 57s	92.3%	367.3 MB	712 MB	1 GB	10.1 KB
