Sample	Study	Site	Admin level 2	Admin level 1	Country	Continent	Site latitude	Site longitude	Admin level 2 latitude	Admin level 2 longitude	Admin level 1 latitude	Admin level 1 longitude	Country latitude	Country longitude	Population	Day	Month	Year	All samples same case	Curated timepoint	Source ENA accession	% callable	Sample type	Is returning traveller	Sample was in Pv4	Exclusion reason	QC pass	Exclusion reason plus time series	QC pass plus time series	MalariaGEN ENA project accession	MalariaGEN ENA experiment accession	MalariaGEN ENA sample accession	MalariaGEN ENA run accession	MalariaGEN ENA CRAM URL	MalariaGEN ENA FASTQ URL
PD0165-C	1154-PV-TH-PRICE	Wangpha	Mae Ramat	Tak	Thailand	Asia	16.835	98.538	17.096018201116145	98.58995821144356	16.712262941875203	98.78736740814588	15.05576172099718	100.90091946898464	AS-SE-W	28.0	1.0	2011	PD0165-C		ERR111724	89.22020647713569	gDNA	False	True	Analysis_set	True	Analysis_set	True	PRJEB102781	ERX15260840	ERS27228675	ERR15860846	http://ftp.sra.ebi.ac.uk/vol1/run/ERR158/ERR15860846/PD0165-C.cram	http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/046/ERR15860846/ERR15860846_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/046/ERR15860846/ERR15860846_2.fastq.gz
PD0166-C	1154-PV-TH-PRICE	Wangpha	Mae Ramat	Tak	Thailand	Asia	16.835	98.538	17.096018201116145	98.58995821144356	16.712262941875203	98.78736740814588	15.05576172099718	100.90091946898464	AS-SE-W	14.0	3.0	2011	PD0166-C		ERR111710	88.70825430929173	gDNA	False	True	Analysis_set	True	Analysis_set	True	PRJEB102781	ERX15260820	ERS27228655	ERR15860826	http://ftp.sra.ebi.ac.uk/vol1/run/ERR158/ERR15860826/PD0166-C.cram	http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/026/ERR15860826/ERR15860826_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/026/ERR15860826/ERR15860826_2.fastq.gz
PD0167-C	1154-PV-TH-PRICE	Wangpha	Mae Ramat	Tak	Thailand	Asia	16.835	98.538	17.096018201116145	98.58995821144356	16.712262941875203	98.78736740814588	15.05576172099718	100.90091946898464	AS-SE-W	20.0	4.0	2011	PD0167-C		ERR111727	87.56006025162418	gDNA	False	True	Analysis_set	True	Analysis_set	True	PRJEB102781	ERX15260850	ERS27228685	ERR15860856	http://ftp.sra.ebi.ac.uk/vol1/run/ERR158/ERR15860856/PD0167-C.cram	http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/056/ERR15860856/ERR15860856_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/056/ERR15860856/ERR15860856_2.fastq.gz
PD0168-C	1154-PV-TH-PRICE	Wangpha	Mae Ramat	Tak	Thailand	Asia	16.835	98.538	17.096018201116145	98.58995821144356	16.712262941875203	98.78736740814588	15.05576172099718	100.90091946898464	AS-SE-W	14.0	5.0	2011	PD0168-C		ERR111721	87.1663234701481	gDNA	False	True	Analysis_set	True	Analysis_set	True	PRJEB102781	ERX15260797	ERS27228632	ERR15860803	http://ftp.sra.ebi.ac.uk/vol1/run/ERR158/ERR15860803/PD0168-C.cram	http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/003/ERR15860803/ERR15860803_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/003/ERR15860803/ERR15860803_2.fastq.gz
PD0169-C	1154-PV-TH-PRICE	Wangpha	Mae Ramat	Tak	Thailand	Asia	16.835	98.538	17.096018201116145	98.58995821144356	16.712262941875203	98.78736740814588	15.05576172099718	100.90091946898464	AS-SE-W	18.0	5.0	2011	PD0169-C		ERR111728	88.71555797472973	gDNA	False	True	Analysis_set	True	Analysis_set	True	PRJEB102781	ERX15260836	ERS27228671	ERR15860842	http://ftp.sra.ebi.ac.uk/vol1/run/ERR158/ERR15860842/PD0169-C.cram	http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/042/ERR15860842/ERR15860842_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/042/ERR15860842/ERR15860842_2.fastq.gz
PD0170-C	1154-PV-TH-PRICE	Wangpha	Mae Ramat	Tak	Thailand	Asia	16.835	98.538	17.096018201116145	98.58995821144356	16.712262941875203	98.78736740814588	15.05576172099718	100.90091946898464	AS-SE-W	22.0	5.0	2011	PD0170-C		ERR111717	90.73920015669307	gDNA	False	True	Analysis_set	True	Analysis_set	True	PRJEB102781	ERX15260801	ERS27228636	ERR15860807	http://ftp.sra.ebi.ac.uk/vol1/run/ERR158/ERR15860807/PD0170-C.cram	http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/007/ERR15860807/ERR15860807_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/007/ERR15860807/ERR15860807_2.fastq.gz
PD0171-C	1154-PV-TH-PRICE	Wangpha	Mae Ramat	Tak	Thailand	Asia	16.835	98.538	17.096018201116145	98.58995821144356	16.712262941875203	98.78736740814588	15.05576172099718	100.90091946898464	AS-SE-W	22.0	5.0	2011	PD0171-C		ERR111713	89.49872027453793	gDNA	False	True	Analysis_set	True	Analysis_set	True	PRJEB102781	ERX15260877	ERS27228712	ERR15860883	http://ftp.sra.ebi.ac.uk/vol1/run/ERR158/ERR15860883/PD0171-C.cram	http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/083/ERR15860883/ERR15860883_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/083/ERR15860883/ERR15860883_2.fastq.gz
PD0172-C	1154-PV-TH-PRICE	Wangpha	Mae Ramat	Tak	Thailand	Asia	16.835	98.538	17.096018201116145	98.58995821144356	16.712262941875203	98.78736740814588	15.05576172099718	100.90091946898464	AS-SE-W	25.0	5.0	2011	PD0172-C		ERR111719	88.88971647694181	gDNA	False	True	Analysis_set	True	Analysis_set	True	PRJEB102781	ERX15260875	ERS27228710	ERR15860881	http://ftp.sra.ebi.ac.uk/vol1/run/ERR158/ERR15860881/PD0172-C.cram	http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/081/ERR15860881/ERR15860881_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/081/ERR15860881/ERR15860881_2.fastq.gz
PD0173-C	1154-PV-TH-PRICE	Wangpha	Mae Ramat	Tak	Thailand	Asia	16.835	98.538	17.096018201116145	98.58995821144356	16.712262941875203	98.78736740814588	15.05576172099718	100.90091946898464	AS-SE-W	1.0	6.0	2011	PD0173-C		ERR111720	91.2682217585663	gDNA	False	True	Mixed_species	False	Mixed_species	False	PRJEB102781	ERX15260861	ERS27228696	ERR15860867	http://ftp.sra.ebi.ac.uk/vol1/run/ERR158/ERR15860867/PD0173-C.cram	http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/067/ERR15860867/ERR15860867_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/067/ERR15860867/ERR15860867_2.fastq.gz
PD0174-C	1154-PV-TH-PRICE	Tak		Tak	Thailand	Asia	16.5	98.7			16.712262941875203	98.78736740814588	15.05576172099718	100.90091946898464	AS-SE-W	6.0	6.0	2011	PD0174-C		ERR111709	91.13683498120348	gDNA	False	True	Analysis_set	True	Analysis_set	True	PRJEB102781	ERX15260845	ERS27228680	ERR15860851	http://ftp.sra.ebi.ac.uk/vol1/run/ERR158/ERR15860851/PD0174-C.cram	http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/051/ERR15860851/ERR15860851_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/051/ERR15860851/ERR15860851_2.fastq.gz
