task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	67/e02e7e	864346	IdentifyCoreGenes	COMPLETED	0	2026-09-02 13:34:23.924	4m 28s	4m 22s	97.2%	7.6 GB	14.5 GB	22.9 MB	3.1 MB
2	b5/11c253	865369	InvokePreparePlotData (1)	COMPLETED	0	2026-09-02 13:38:56.020	41.2s	10.2s	67.5%	147.6 MB	282.1 MB	65.5 MB	3.4 KB
4	45/1a7a55	865377	InvokePreparePlotData (3)	COMPLETED	0	2026-09-02 13:38:57.582	39.7s	14.5s	70.8%	147.9 MB	282.1 MB	62.8 MB	4.8 KB
9	9c/d04b00	865403	InvokePreparePlotData (8)	COMPLETED	0	2026-09-02 13:39:04.099	33.3s	4.2s	65.3%	147.8 MB	282.1 MB	55.4 MB	3.4 KB
8	42/ca58ab	865409	InvokePreparePlotData (7)	COMPLETED	0	2026-09-02 13:39:05.386	32.1s	4.2s	68.2%	148 MB	282.1 MB	69.2 MB	3.1 KB
13	ff/a9f840	865442	InvokePreparePlotData (12)	COMPLETED	0	2026-09-02 13:39:10.793	26.8s	9.6s	74.0%	147.8 MB	282.1 MB	58.1 MB	5.1 KB
14	90/2b5056	865451	InvokePreparePlotData (13)	COMPLETED	0	2026-09-02 13:39:12.089	25.6s	4.8s	68.5%	147.1 MB	282.1 MB	59.5 MB	3.5 KB
17	c0/543551	865465	InvokePreparePlotData (16)	COMPLETED	0	2026-09-02 13:39:14.584	23.2s	5.1s	71.2%	147.8 MB	282.1 MB	58.1 MB	3.3 KB
15	19/b2c9d2	865474	InvokePreparePlotData (14)	COMPLETED	0	2026-09-02 13:39:15.775	22s	7.8s	50.9%	153.5 MB	362.9 MB	62.9 MB	3.2 KB
19	dc/90a650	865487	InvokePreparePlotData (18)	COMPLETED	0	2026-09-02 13:39:18.808	19.1s	6.6s	72.1%	147.5 MB	282.1 MB	87.3 MB	3.3 KB
20	bc/e11a9f	865489	InvokePreparePlotData (19)	COMPLETED	0	2026-09-02 13:39:19.106	18.8s	9.6s	74.5%	147.3 MB	282.1 MB	64.6 MB	5.8 KB
26	49/36621f	865507	InvokePreparePlotData (25)	COMPLETED	0	2026-09-02 13:39:21.333	16.7s	8s	70.8%	147.9 MB	282.1 MB	60.1 MB	4 KB
28	1a/67e8db	865514	InvokePreparePlotData (27)	COMPLETED	0	2026-09-02 13:39:22.179	15.9s	5.6s	72.7%	147.9 MB	282.1 MB	71.9 MB	3.9 KB
35	18/3d1102	865523	InvokePreparePlotData (34)	COMPLETED	0	2026-09-02 13:39:24.156	14s	6s	67.7%	147.4 MB	282.1 MB	58.7 MB	3.1 KB
39	5a/df301e	865538	InvokePreparePlotData (38)	COMPLETED	0	2026-09-02 13:39:25.741	12.5s	6.4s	72.1%	148 MB	282.1 MB	111.6 MB	3.4 KB
42	84/8dca45	865552	InvokePreparePlotData (41)	COMPLETED	0	2026-09-02 13:39:27.485	10.8s	7.1s	56.6%	147.1 MB	282.1 MB	55.7 MB	3.3 KB
47	bb/4a82ba	865561	InvokePreparePlotData (46)	COMPLETED	0	2026-09-02 13:39:28.440	9.9s	5.9s	69.9%	147.9 MB	282.1 MB	81.2 MB	3.4 KB
46	6a/944ce1	865565	InvokePreparePlotData (45)	COMPLETED	0	2026-09-02 13:39:28.743	9.6s	3.2s	61.6%	147.3 MB	281.8 MB	56.1 MB	3 KB
3	18/13a92b	865359	InvokePreparePlotData (2)	COMPLETED	0	2026-09-02 13:38:54.582	57.6s	30.9s	80.1%	147.5 MB	282.1 MB	60 MB	10.1 KB
5	0e/0c5a82	865385	InvokePreparePlotData (4)	COMPLETED	0	2026-09-02 13:38:59.244	53s	27.9s	71.3%	145.9 MB	282.1 MB	64.2 MB	8.9 KB
6	2b/d8e2f4	865393	InvokePreparePlotData (5)	COMPLETED	0	2026-09-02 13:39:00.785	51.5s	29.1s	72.1%	146 MB	282.1 MB	61.1 MB	10.1 KB
7	87/32f4b2	865395	InvokePreparePlotData (6)	COMPLETED	0	2026-09-02 13:39:02.281	50s	13.9s	77.3%	148.2 MB	282.1 MB	65.5 MB	8.1 KB
10	02/ff9986	865428	InvokePreparePlotData (9)	COMPLETED	0	2026-09-02 13:39:08.135	44.2s	22.6s	78.5%	147.8 MB	282.1 MB	61.1 MB	7.3 KB
12	63/109b7b	865434	InvokePreparePlotData (11)	COMPLETED	0	2026-09-02 13:39:09.584	42.8s	26.7s	78.4%	147.7 MB	282.1 MB	67.6 MB	10.3 KB
18	b5/47edd5	865483	InvokePreparePlotData (17)	COMPLETED	0	2026-09-02 13:39:18.118	34.3s	15.8s	76.5%	147.7 MB	282.1 MB	64.6 MB	7.8 KB
21	98/42a581	865490	InvokePreparePlotData (20)	COMPLETED	0	2026-09-02 13:39:19.499	33s	22.8s	78.0%	148 MB	282.1 MB	61.6 MB	11.2 KB
25	f1/3ce11e	865501	InvokePreparePlotData (24)	COMPLETED	0	2026-09-02 13:39:20.782	31.8s	13.1s	61.9%	147 MB	298.9 MB	169.5 MB	3.7 KB
27	14/86bc2c	865510	InvokePreparePlotData (26)	COMPLETED	0	2026-09-02 13:39:21.620	31s	11.4s	74.0%	147.8 MB	282.1 MB	59.6 MB	4.6 KB
29	2e/325d11	865512	InvokePreparePlotData (28)	COMPLETED	0	2026-09-02 13:39:21.910	30.7s	18.3s	74.1%	147.7 MB	282.1 MB	58.7 MB	7.1 KB
30	64/07878e	865516	InvokePreparePlotData (29)	COMPLETED	0	2026-09-02 13:39:22.459	30.2s	13s	66.7%	146.9 MB	282.1 MB	61.9 MB	6.3 KB
31	b6/84d3e2	865517	InvokePreparePlotData (30)	COMPLETED	0	2026-09-02 13:39:22.724	30s	18.7s	68.7%	147.2 MB	282.1 MB	75.8 MB	4.5 KB
32	3e/6bf9c1	865519	InvokePreparePlotData (31)	COMPLETED	0	2026-09-02 13:39:22.989	29.8s	18.7s	64.5%	146.8 MB	282.1 MB	60.9 MB	7.4 KB
33	07/12b104	865521	InvokePreparePlotData (32)	COMPLETED	0	2026-09-02 13:39:23.858	29s	12.9s	71.9%	152.5 MB	359.9 MB	64.1 MB	5.1 KB
34	e4/b625a1	865525	InvokePreparePlotData (33)	COMPLETED	0	2026-09-02 13:39:24.474	28.4s	10.5s	75.6%	147.3 MB	282.1 MB	68.4 MB	6.7 KB
37	75/2053b1	865530	InvokePreparePlotData (36)	COMPLETED	0	2026-09-02 13:39:25.149	27.8s	22.8s	70.3%	147.8 MB	282.2 MB	66.8 MB	4.3 KB
38	5b/d55b2f	865534	InvokePreparePlotData (37)	COMPLETED	0	2026-09-02 13:39:25.460	27.5s	17.6s	69.9%	147.3 MB	282.1 MB	58.6 MB	3.7 KB
41	2f/d93515	865543	InvokePreparePlotData (40)	COMPLETED	0	2026-09-02 13:39:26.032	27s	19.7s	70.5%	147.2 MB	282.1 MB	67.2 MB	7 KB
45	00/ce1d1d	865555	InvokePreparePlotData (44)	COMPLETED	0	2026-09-02 13:39:27.763	25.4s	8.2s	68.4%	147.9 MB	282.1 MB	90.4 MB	3.2 KB
44	00/761f99	865558	InvokePreparePlotData (43)	COMPLETED	0	2026-09-02 13:39:28.054	25.1s	8.8s	65.5%	147.8 MB	282.1 MB	66.2 MB	4.1 KB
48	9f/93c402	865569	InvokePreparePlotData (47)	COMPLETED	0	2026-09-02 13:39:29.082	24.2s	10.9s	76.2%	147 MB	282.1 MB	69.2 MB	6 KB
49	c1/5135f6	865572	InvokePreparePlotData (48)	COMPLETED	0	2026-09-02 13:39:29.445	23.9s	9.8s	78.6%	147.2 MB	282.1 MB	64.6 MB	4.4 KB
50	7f/410dca	865575	InvokePreparePlotData (49)	COMPLETED	0	2026-09-02 13:39:30.159	23.2s	18.1s	74.5%	147.8 MB	282.1 MB	63.7 MB	7.9 KB
52	bc/ab5cac	865583	InvokePreparePlotData (51)	COMPLETED	0	2026-09-02 13:39:30.816	22.6s	17.2s	85.5%	145.6 MB	282.1 MB	83.5 MB	5.6 KB
53	a5/71f50c	865586	InvokePreparePlotData (52)	COMPLETED	0	2026-09-02 13:39:31.324	22.2s	17.8s	86.1%	147.5 MB	282.2 MB	80.4 MB	9.4 KB
55	af/f72e38	865593	InvokePreparePlotData (54)	COMPLETED	0	2026-09-02 13:39:31.909	21.6s	5.4s	54.1%	147 MB	354.9 MB	76 MB	3 KB
57	2e/11363c	865597	InvokePreparePlotData (56)	COMPLETED	0	2026-09-02 13:39:32.360	21.2s	14.3s	74.9%	148.1 MB	282.1 MB	63.1 MB	10.1 KB
56	e3/c2d73f	865600	InvokePreparePlotData (55)	COMPLETED	0	2026-09-02 13:39:32.648	21s	3.8s	68.1%	147.8 MB	282.1 MB	64.7 MB	2.9 KB
58	b7/193fd1	865604	InvokePreparePlotData (57)	COMPLETED	0	2026-09-02 13:39:32.938	20.7s	15.2s	71.9%	156 MB	362.9 MB	86.4 MB	7.9 KB
61	aa/d989a5	865609	InvokePreparePlotData (60)	COMPLETED	0	2026-09-02 13:39:33.655	20.1s	15.8s	74.7%	147.9 MB	282.1 MB	100.7 MB	5.7 KB
60	8e/2cc995	865610	InvokePreparePlotData (59)	COMPLETED	0	2026-09-02 13:39:33.932	19.9s	8.5s	74.0%	148 MB	282.1 MB	65.8 MB	4.2 KB
63	05/0a5093	865612	InvokePreparePlotData (62)	COMPLETED	0	2026-09-02 13:39:34.229	19.6s	5s	70.6%	148.1 MB	282.1 MB	69.2 MB	3 KB
67	a0/389671	865623	InvokePreparePlotData (66)	COMPLETED	0	2026-09-02 13:39:36.213	17.7s	7.9s	72.5%	148 MB	282.1 MB	74.5 MB	4.4 KB
66	de/b60021	865626	InvokePreparePlotData (65)	COMPLETED	0	2026-09-02 13:39:36.494	17.5s	8.9s	66.9%	147.7 MB	282.1 MB	58.3 MB	4.2 KB
68	ab/e5ceaa	865632	InvokePreparePlotData (67)	COMPLETED	0	2026-09-02 13:39:37.071	17s	5.5s	58.3%	147.2 MB	282.1 MB	77.9 MB	3 KB
71	99/cc058c	865643	InvokePreparePlotData (70)	COMPLETED	0	2026-09-02 13:39:38.454	15.7s	9.4s	76.6%	157.1 MB	364 MB	84.1 MB	9.4 KB
75	64/b13c43	865656	InvokePreparePlotData (74)	COMPLETED	0	2026-09-02 13:39:39.741	14.6s	4.1s	66.6%	147.9 MB	282.1 MB	69 MB	3.3 KB
80	b0/11c6b3	865675	InvokePreparePlotData (79)	COMPLETED	0	2026-09-02 13:39:42.097	12.3s	7.3s	74.9%	147.1 MB	282.1 MB	78.1 MB	3.3 KB
83	ce/27ba5b	865683	InvokePreparePlotData (82)	COMPLETED	0	2026-09-02 13:39:42.772	11.7s	10s	72.5%	147.9 MB	282.1 MB	55.9 MB	4.2 KB
86	51/d37fd5	865689	InvokePreparePlotData (85)	COMPLETED	0	2026-09-02 13:39:43.768	10.7s	7s	69.1%	147.8 MB	282.1 MB	73 MB	3.3 KB
88	49/499513	865693	InvokePreparePlotData (87)	COMPLETED	0	2026-09-02 13:39:44.428	10.1s	5.2s	68.6%	148.1 MB	282.1 MB	63.2 MB	4.1 KB
11	2c/5a0cf2	865419	InvokePreparePlotData (10)	COMPLETED	0	2026-09-02 13:39:06.640	1m 1s	41.3s	83.0%	157.2 MB	289.9 MB	62.6 MB	12.1 KB
22	9a/e4c821	865493	InvokePreparePlotData (21)	COMPLETED	0	2026-09-02 13:39:19.801	47.5s	37.5s	84.0%	164.7 MB	297.1 MB	61.8 MB	19.3 KB
23	77/8b720b	865496	InvokePreparePlotData (22)	COMPLETED	0	2026-09-02 13:39:20.328	47s	31.8s	85.6%	165.7 MB	297.8 MB	91.8 MB	15.8 KB
24	5b/17b94e	865503	InvokePreparePlotData (23)	COMPLETED	0	2026-09-02 13:39:21.050	46.3s	33s	78.4%	147.1 MB	282.1 MB	62.9 MB	11.8 KB
36	b6/08518d	865528	InvokePreparePlotData (35)	COMPLETED	0	2026-09-02 13:39:24.783	42.6s	29.3s	83.0%	147.9 MB	282.1 MB	73.3 MB	15.4 KB
40	7b/64bacc	865546	InvokePreparePlotData (39)	COMPLETED	0	2026-09-02 13:39:26.887	40.5s	11.5s	68.9%	147.3 MB	282.1 MB	65.5 MB	6 KB
43	c6/8aa712	865549	InvokePreparePlotData (42)	COMPLETED	0	2026-09-02 13:39:27.197	40.2s	10.8s	68.3%	147.5 MB	282.1 MB	90.5 MB	3.5 KB
51	6c/9ca532	865579	InvokePreparePlotData (50)	COMPLETED	0	2026-09-02 13:39:30.477	37s	24.1s	89.3%	146 MB	282.1 MB	64.3 MB	11.9 KB
54	c9/60a60b	865589	InvokePreparePlotData (53)	COMPLETED	0	2026-09-02 13:39:31.627	35.9s	23.4s	72.2%	147.5 MB	282.1 MB	63.3 MB	7.5 KB
62	d8/a10f2f	865614	InvokePreparePlotData (61)	COMPLETED	0	2026-09-02 13:39:35.382	32.1s	27.4s	78.7%	147.8 MB	282.1 MB	60.8 MB	12 KB
64	69/fc8a7f	865620	InvokePreparePlotData (63)	COMPLETED	0	2026-09-02 13:39:35.944	31.6s	19.5s	74.6%	148 MB	282.1 MB	58.4 MB	7.9 KB
69	f9/4dc3a2	865629	InvokePreparePlotData (68)	COMPLETED	0	2026-09-02 13:39:36.774	30.8s	19.1s	79.7%	147.9 MB	282.1 MB	72.1 MB	9.7 KB
70	bb/e82af5	865637	InvokePreparePlotData (69)	COMPLETED	0	2026-09-02 13:39:37.605	30s	11.5s	70.5%	147 MB	282.1 MB	57.3 MB	6.4 KB
72	ee/ba066f	865647	InvokePreparePlotData (71)	COMPLETED	0	2026-09-02 13:39:38.749	28.9s	14.2s	61.5%	153.6 MB	361.9 MB	74.1 MB	3.7 KB
74	e9/645f1a	865650	InvokePreparePlotData (73)	COMPLETED	0	2026-09-02 13:39:39.098	28.6s	16.2s	80.0%	148 MB	282.1 MB	66.4 MB	11 KB
73	97/5d2af0	865653	InvokePreparePlotData (72)	COMPLETED	0	2026-09-02 13:39:39.451	28.3s	13.9s	70.5%	149.6 MB	357 MB	62.1 MB	4.3 KB
77	07/33b5e6	865662	InvokePreparePlotData (76)	COMPLETED	0	2026-09-02 13:39:40.383	27.4s	12.8s	71.1%	147.9 MB	282.1 MB	160.5 MB	3.9 KB
78	6e/4c2d72	865665	InvokePreparePlotData (77)	COMPLETED	0	2026-09-02 13:39:41.176	26.7s	16.9s	92.0%	148.5 MB	282.1 MB	71.7 MB	11.1 KB
79	69/b517b6	865668	InvokePreparePlotData (78)	COMPLETED	0	2026-09-02 13:39:41.484	26.4s	16.7s	77.7%	160.1 MB	367.9 MB	99.8 MB	8.7 KB
82	2f/151f7e	865679	InvokePreparePlotData (81)	COMPLETED	0	2026-09-02 13:39:42.456	25.5s	12.6s	77.5%	147.8 MB	282.1 MB	60.6 MB	5.7 KB
84	2f/55363e	865685	InvokePreparePlotData (83)	COMPLETED	0	2026-09-02 13:39:43.085	24.9s	20.1s	74.0%	147.8 MB	282.1 MB	64.4 MB	10.2 KB
85	de/5a8d64	865687	InvokePreparePlotData (84)	COMPLETED	0	2026-09-02 13:39:43.413	24.6s	11.4s	53.1%	147.1 MB	282.1 MB	75.2 MB	3.5 KB
87	42/7ace4e	865691	InvokePreparePlotData (86)	COMPLETED	0	2026-09-02 13:39:44.068	24s	8.6s	75.3%	148 MB	282.1 MB	56.7 MB	7.8 KB
89	76/ebfa5f	865696	InvokePreparePlotData (88)	COMPLETED	0	2026-09-02 13:39:45.288	22.8s	15.6s	72.9%	147.9 MB	282.1 MB	69.1 MB	6.8 KB
92	23/649404	865704	InvokePreparePlotData (91)	COMPLETED	0	2026-09-02 13:39:45.932	22.2s	12.9s	68.9%	148.1 MB	282.2 MB	74.5 MB	3.3 KB
91	7e/b86375	865707	InvokePreparePlotData (90)	COMPLETED	0	2026-09-02 13:39:46.230	21.9s	7.5s	74.3%	147.9 MB	282.1 MB	88.5 MB	3.5 KB
93	41/dcefc4	865710	InvokePreparePlotData (92)	COMPLETED	0	2026-09-02 13:39:46.527	21.7s	12.8s	72.6%	157.4 MB	364.9 MB	65.9 MB	5.1 KB
95	62/bf6280	865716	InvokePreparePlotData (94)	COMPLETED	0	2026-09-02 13:39:47.101	21.2s	11.7s	69.9%	147.9 MB	282.1 MB	69.4 MB	5.6 KB
96	0c/7d6bd2	865719	InvokePreparePlotData (95)	COMPLETED	0	2026-09-02 13:39:47.391	21s	7.2s	69.0%	148.1 MB	282.1 MB	70.5 MB	3.6 KB
98	6c/81dc41	865722	InvokePreparePlotData (97)	COMPLETED	0	2026-09-02 13:39:47.886	20.5s	6.8s	75.6%	148.1 MB	282.1 MB	108.2 MB	3.1 KB
97	58/694084	865727	InvokePreparePlotData (96)	COMPLETED	0	2026-09-02 13:39:48.191	20.2s	16s	71.9%	148 MB	282.1 MB	63.7 MB	4.8 KB
100	43/4c20a3	865730	InvokePreparePlotData (99)	COMPLETED	0	2026-09-02 13:39:48.490	20s	18.3s	90.4%	148.4 MB	282.1 MB	74.3 MB	8.4 KB
99	7c/9d50f0	865733	InvokePreparePlotData (98)	COMPLETED	0	2026-09-02 13:39:48.886	19.6s	6.3s	69.9%	148 MB	355 MB	61.3 MB	4 KB
102	58/df5429	865736	InvokePreparePlotData (101)	COMPLETED	0	2026-09-02 13:39:49.172	19.4s	6.3s	71.9%	155.5 MB	362.9 MB	102.8 MB	3.6 KB
101	58/1ae816	865738	InvokePreparePlotData (100)	COMPLETED	0	2026-09-02 13:39:49.689	18.9s	5.2s	88.9%	148.3 MB	282.1 MB	64.4 MB	4.4 KB
103	88/d42d58	865746	InvokePreparePlotData (102)	COMPLETED	0	2026-09-02 13:39:50.860	17.7s	7s	54.6%	147 MB	282.1 MB	63.7 MB	3 KB
106	b3/c22c08	865748	InvokePreparePlotData (105)	COMPLETED	0	2026-09-02 13:39:51.134	17.5s	13.4s	74.8%	147.3 MB	282.1 MB	69.5 MB	6.2 KB
105	17/925df8	865751	InvokePreparePlotData (104)	COMPLETED	0	2026-09-02 13:39:51.526	17.1s	12.8s	73.4%	147.3 MB	282.1 MB	193 MB	3.7 KB
107	1d/7d9305	865757	InvokePreparePlotData (106)	COMPLETED	0	2026-09-02 13:39:52.126	16.6s	10.4s	72.6%	152 MB	359.9 MB	58.5 MB	4.1 KB
110	f0/ffe755	865764	InvokePreparePlotData (109)	COMPLETED	0	2026-09-02 13:39:53.444	15.3s	8.3s	53.3%	151.5 MB	359.9 MB	91.7 MB	3.1 KB
112	7f/39401f	865770	InvokePreparePlotData (111)	COMPLETED	0	2026-09-02 13:39:55.223	13.6s	4.4s	67.2%	148 MB	282.1 MB	67 MB	3.3 KB
113	4c/6933cc	865772	InvokePreparePlotData (112)	COMPLETED	0	2026-09-02 13:39:55.517	13.3s	7.8s	65.1%	147.8 MB	282.1 MB	55.3 MB	2.9 KB
116	af/3e0e4b	865783	InvokePreparePlotData (115)	COMPLETED	0	2026-09-02 13:39:56.452	12.5s	7.3s	69.1%	148.1 MB	282.1 MB	64.1 MB	3.6 KB
117	6b/4a928c	865786	InvokePreparePlotData (116)	COMPLETED	0	2026-09-02 13:39:56.721	12.2s	9.7s	70.0%	147.9 MB	282.1 MB	64.3 MB	4 KB
118	c7/3896e6	865794	InvokePreparePlotData (117)	COMPLETED	0	2026-09-02 13:39:57.313	11.7s	7.5s	90.1%	148.3 MB	282.1 MB	84.7 MB	5.1 KB
121	57/3d8327	865798	InvokePreparePlotData (120)	COMPLETED	0	2026-09-02 13:39:57.600	11.4s	7.1s	66.0%	153.3 MB	360.9 MB	61.8 MB	3.5 KB
124	ac/bb883d	865813	InvokePreparePlotData (123)	COMPLETED	0	2026-09-02 13:39:59.343	9.7s	8.6s	74.1%	148.2 MB	282.1 MB	63.9 MB	4.3 KB
16	10/91900b	865460	InvokePreparePlotData (15)	COMPLETED	0	2026-09-02 13:39:13.368	1m 9s	45s	85.5%	166.3 MB	300 MB	67.8 MB	14.9 KB
59	00/71e569	865607	InvokePreparePlotData (58)	COMPLETED	0	2026-09-02 13:39:33.366	48.9s	41.1s	84.2%	150.9 MB	283.2 MB	73 MB	15.7 KB
65	7f/47f8f8	865617	InvokePreparePlotData (64)	COMPLETED	0	2026-09-02 13:39:35.673	46.6s	43.1s	84.4%	147.7 MB	282.1 MB	97.4 MB	16.3 KB
76	c1/510a0d	865658	InvokePreparePlotData (75)	COMPLETED	0	2026-09-02 13:39:40.053	42.3s	30.4s	79.8%	148.2 MB	282.1 MB	68.6 MB	10.9 KB
94	8d/5f6377	865714	InvokePreparePlotData (93)	COMPLETED	0	2026-09-02 13:39:46.817	35.5s	25.4s	78.9%	148 MB	282.1 MB	63.7 MB	10 KB
108	c0/f867e8	865753	InvokePreparePlotData (107)	COMPLETED	0	2026-09-02 13:39:51.843	30.5s	15.7s	79.1%	149.6 MB	282.1 MB	70.1 MB	7.7 KB
109	2c/958b55	865761	InvokePreparePlotData (108)	COMPLETED	0	2026-09-02 13:39:52.656	29.7s	14.8s	71.7%	154.3 MB	361.9 MB	201.1 MB	3.2 KB
111	b1/d7f797	865769	InvokePreparePlotData (110)	COMPLETED	0	2026-09-02 13:39:54.944	27.4s	12.4s	73.0%	154.3 MB	361.9 MB	57.9 MB	6 KB
115	20/b97756	865775	InvokePreparePlotData (114)	COMPLETED	0	2026-09-02 13:39:55.791	26.6s	17.6s	71.5%	155.6 MB	362.9 MB	61.2 MB	7.7 KB
114	32/de16a2	865779	InvokePreparePlotData (113)	COMPLETED	0	2026-09-02 13:39:56.178	26.2s	20.1s	76.6%	148 MB	282.1 MB	93 MB	11.5 KB
119	05/cfbed1	865790	InvokePreparePlotData (118)	COMPLETED	0	2026-09-02 13:39:57.032	25.4s	14.9s	73.8%	148.1 MB	282.1 MB	81.7 MB	6.2 KB
