gene_id	c_exc_s	c_inc_s	c_missing	c_het_calls	c_stop_codon	c_unq_h
PF3D7_1362300	1923	22502	155	1767	1	61
PF3D7_0627400	2032	22393	922	1110	0	34
PF3D7_1315300	1901	22524	456	1442	3	152
PF3D7_1206400	2040	22385	1297	742	1	120
PF3D7_1016500	18091	6334	15459	2626	1	257
PF3D7_1144400	11887	12538	7135	4750	2	1310
PF3D7_0501100	3157	21268	2359	646	0	21
PF3D7_1420900	2233	22192	1437	794	1	36
PF3D7_1302700	17705	6720	13519	4170	0	888
PF3D7_1305800	2244	22181	995	1249	0	154
PF3D7_1306500	12347	12078	4041	8306	0	3405
PF3D7_1210300	2602	21823	391	2211	0	127
PF3D7_0822100	1098	23327	236	860	2	79
PF3D7_1016200	3487	20938	2471	1016	0	102
PF3D7_0818500	559	23866	84	475	0	52
PF3D7_0720000	1040	23385	683	357	0	43
PF3D7_0310100	3446	20979	1961	1449	0	47
PF3D7_0919600	3542	20883	2586	955	1	165
PF3D7_0528900	2291	22134	2007	263	0	30
PF3D7_0319200	7089	17336	2230	4859	0	515
PF3D7_0808300	6106	18319	768	5336	0	34
PF3D7_0308800	2089	22336	1667	416	0	21
PF3D7_1341900	1227	23198	1061	151	0	10
PF3D7_0819500	2823	21602	1435	1271	0	9
PF3D7_1345700	4366	20059	3173	1192	1	134
PF3D7_0607600	8613	15812	4190	4363	0	238
PF3D7_0934500	1538	22887	1092	446	0	49
PF3D7_1308000	6101	18324	1054	5047	0	371
PF3D7_0717100	15759	8666	12680	3079	0	226
PF3D7_1143300	3266	21159	712	2554	0	103
PF3D7_0414300	2021	22404	1068	952	0	13
PF3D7_0413500	5178	19247	1225	3953	0	25
PF3D7_0824400	6891	17534	1522	5369	0	133
PF3D7_0820400	3397	21028	875	2520	0	240
PF3D7_0317100	6156	18269	2071	3150	0	175
PF3D7_0104200	6656	17769	1165	5491	0	245
PF3D7_1007200	10511	13914	9464	997	0	75
PF3D7_1207100	5229	19196	1242	3987	0	439
PF3D7_0513000	2430	21995	1856	574	0	40
PF3D7_1135800	1747	22678	296	1451	0	105
PF3D7_1303000	4259	20166	561	3697	0	24
PF3D7_0602300	3513	20912	2026	1486	1	99
PF3D7_1134500	10019	14406	3849	6170	0	1066
PF3D7_1426100	670	23755	363	307	0	11
PF3D7_0422600	3476	20949	1186	2290	0	24
PF3D7_0825700	6166	18259	1382	4784	0	263
PF3D7_1206600	9341	15084	5011	4329	1	331
PF3D7_0902500	9087	15338	2992	6095	0	356
PF3D7_0505100	18369	6056	15894	2361	0	456
PF3D7_0505200	3425	21000	1362	2063	0	233
PF3D7_0410500	4002	20423	1251	2751	0	42
PF3D7_1217200	13177	11248	7505	5671	1	668
PF3D7_1414000	2095	22330	1931	116	0	15
PF3D7_1230600	3563	20862	3296	267	0	22
PF3D7_1031800	4999	19426	2845	2152	0	104
PF3D7_0212200	4809	19616	4468	340	1	59
PF3D7_1349700	9470	14955	242	9225	1	39
PF3D7_0713700	2290	22135	2119	117	0	8
PF3D7_1107400	4855	19570	1284	3571	0	13
PF3D7_0415500	1633	22792	1313	318	0	17
PF3D7_0602400	6731	17694	4988	1743	0	146
PF3D7_0717200	18738	5687	17762	975	0	64
PF3D7_1240000	5724	18701	3805	1919	0	126
PF3D7_0528600	4868	19557	1618	3250	0	51
PF3D7_1468600	13853	10572	7866	5951	0	1379
PF3D7_0518100	10270	14155	4558	5712	0	832
PF3D7_1310400	10850	13575	6680	4169	1	685
PF3D7_0713900	18679	5746	14944	3728	7	2428
PF3D7_1355200	11217	13208	7596	3621	0	518
PF3D7_0920400	16222	8203	13434	2787	1	833
PF3D7_0929700	3291	21134	1580	1710	1	139
PF3D7_1431800	5192	19233	1973	3195	20	396
PF3D7_1032500	748	23677	574	166	0	24
PF3D7_0410800	16116	8309	11268	4847	1	1373
PF3D7_1422200	848	23577	130	718	0	62
PF3D7_0511900	4394	20031	1218	3176	0	248
PF3D7_0912900	1595	22830	1273	285	0	11
PF3D7_0114750	683	23742	522	153	8	16
PF3D7_1362200	3442	20983	2065	1373	4	61
PF3D7_0315400	1513	22912	189	1324	0	83
PF3D7_0934600	608	23817	311	273	0	35
PF3D7_0829100	1960	22465	1818	126	0	7
PF3D7_0718500	1469	22956	1359	104	0	1
PF3D7_1332500	4393	20032	878	3514	1	35
PF3D7_1013000	4204	20221	2496	1682	0	232
PF3D7_0204800	11073	13352	2692	8381	0	184
PF3D7_1250500	2815	21610	2762	50	0	6
PF3D7_1367600	1264	23161	796	361	0	37
PF3D7_1119200	1710	22715	378	1323	0	51
PF3D7_1121000	5721	18704	2135	3585	0	14
PF3D7_1472400	8972	15453	2493	6476	0	1240
PF3D7_0418100	16288	8137	10501	5787	0	630
PF3D7_1205900	9514	14911	5446	4068	0	381
PF3D7_0517200	10112	14313	5121	4989	2	389
PF3D7_0714400	1195	23230	496	692	0	51
PF3D7_1219900	1880	22545	1001	878	1	65
PF3D7_0917400	9074	15351	1748	7317	9	1160
PF3D7_1410000	5005	19420	386	4618	1	107
PF3D7_0704400	8336	16089	2302	6033	1	865
PF3D7_0208400	14970	9455	8769	6198	3	1175
PF3D7_1238900	5472	18953	1137	4335	0	155
PF3D7_1414900	8776	15649	3333	5443	0	773
PF3D7_1008400	3159	21266	1738	1421	0	15
PF3D7_0213300	562	23863	525	34	0	3
PF3D7_1242600	5718	18707	2060	3653	4	346
PF3D7_1460500	22648	1777	19663	1644	1341	416
PF3D7_1031600	17336	7089	12699	4637	0	557
PF3D7_0418900	3291	21134	1860	1243	0	119
PF3D7_1344600	2710	21715	1260	1450	0	148
PF3D7_0827900	7135	17290	5684	1410	1	47
PF3D7_1202900	558	23867	214	344	0	5
PF3D7_0711500	9221	15204	2323	6897	1	273
PF3D7_1434800	1477	22948	1142	334	1	27
PF3D7_0509500	16717	7708	14219	2498	0	89
PF3D7_1440100	5172	19253	1504	3667	1	526
PF3D7_1317800	1680	22745	1235	445	0	13
PF3D7_1145800	8759	15666	1095	7664	0	1389
PF3D7_1127700	3898	20527	1906	1988	0	163
PF3D7_0216800	22803	1622	21909	894	0	431
PF3D7_1344400	4486	19939	1192	3290	4	408
PF3D7_1303500	16689	7736	8754	7926	8	1122
PF3D7_1435700	3093	21332	1531	1395	0	110
PF3D7_1407800	6806	17619	2307	4499	0	142
PF3D7_0623000	6496	17929	1506	4989	1	169
PF3D7_0606200	673	23752	503	137	0	5
PF3D7_0716100	14759	9666	10213	4546	0	300
PF3D7_0818000	5716	18709	2699	3017	0	312
PF3D7_0211800	3249	21176	1770	1478	1	114
PF3D7_0220100	12821	11604	7387	5434	0	572
PF3D7_0316500	2464	21961	1650	814	0	56
PF3D7_0407400	523	23902	34	489	0	60
PF3D7_0929400	10416	14009	6676	3090	0	101
PF3D7_1007600	403	24022	113	290	0	29
PF3D7_1139300	10372	14053	3847	6482	36	1637
PF3D7_0509900	1487	22938	610	877	0	71
PF3D7_1412400	21890	2535	19733	2140	0	493
PF3D7_0405900	8596	15829	1752	6829	2	297
PF3D7_1448500	23364	1061	22336	1028	0	452
PF3D7_0714600	13311	11114	8019	5292	0	283
PF3D7_1407500	1984	22441	1806	175	0	23
PF3D7_1353900	1186	23239	802	318	0	9
PF3D7_1324400	2170	22255	1935	227	0	6
PF3D7_1249200	1500	22925	261	1239	0	99
PF3D7_0724200	3391	21034	818	2573	0	169
PF3D7_0619400	9698	14727	8209	1488	0	20
PF3D7_0414500	2098	22327	1247	833	0	5
PF3D7_0806000	22771	1654	21988	783	0	190
PF3D7_1022900	302	24123	166	129	4	4
PF3D7_0109700	3809	20616	754	3054	0	20
PF3D7_1464000	4186	20239	744	3434	8	403
PF3D7_1224500	421	24004	124	294	0	8
PF3D7_0419400	17113	7312	12957	4112	3	1404
PF3D7_0206800	22518	1907	21986	532	0	386
PF3D7_1428700	5461	18964	3007	2454	0	174
PF3D7_0106100	2001	22424	658	1343	0	37
PF3D7_1323600	3299	21126	2725	574	0	74
PF3D7_0530200	2256	22169	646	1610	0	151
PF3D7_0404800	14161	10264	8312	5845	0	353
PF3D7_0506000	1838	22587	624	1211	0	62
PF3D7_1020100	199	24226	57	142	0	11
PF3D7_1105600	7973	16452	1971	6002	0	536
PF3D7_1116100	10488	13937	5536	4952	0	906
PF3D7_1136100	4231	20194	1742	2489	0	361
PF3D7_1010200	11570	12855	7316	4254	0	1261
PF3D7_1023200	2823	21602	1616	1207	0	80
PF3D7_0906200	4722	19703	1641	3081	0	265
PF3D7_1345000	2267	22158	1901	137	0	15
PF3D7_0630800	6891	17534	1398	40	0	10
PF3D7_1238700	6310	18115	3861	2439	1	143
PF3D7_1103600	3251	21174	2140	1111	0	78
PF3D7_0204000	6340	18085	2043	4293	2	331
PF3D7_0404300	20115	4310	18223	1465	140	107
PF3D7_0831000	3299	21126	1171	2120	0	238
PF3D7_0708400	6886	17539	3639	3058	0	93
PF3D7_0615200	3280	21145	1963	386	0	38
PF3D7_0110000	4278	20147	839	3439	0	107
PF3D7_1469500	8881	15544	2264	6617	0	524
