gene_id	c_exc_s	c_inc_s	c_missing	c_het_calls	c_stop_codon	c_unq_h
PVP01_0613500	101	1165	10	90	0	11
PVP01_0819200	245	1021	28	216	0	42
PVP01_0624100	422	844	84	314	23	82
PVP01_1138200	142	1124	10	131	0	12
PVP01_1463900	62	1204	7	54	0	7
PVP01_1216400	251	1015	30	220	0	16
PVP01_1102300	169	1097	9	159	0	6
PVP01_0946300	449	817	113	336	0	48
PVP01_0906800	218	1048	20	197	0	9
PVP01_0105700	847	419	623	223	0	218
PVP01_0108100	175	1091	12	162	0	12
PVP01_0305000	138	1128	12	125	0	17
PVP01_1309900	709	557	482	226	0	225
PVP01_0618500	193	1073	16	176	0	14
PVP01_1320200	891	375	698	192	0	115
PVP01_0216000	513	753	200	312	0	168
PVP01_1262300	152	1114	17	134	0	9
PVP01_0106100	87	1179	7	79	0	5
PVP01_1258100	12	1254	5	6	0	5
PVP01_1111700	43	1223	9	33	0	4
PVP01_1459300	238	1028	40	197	0	47
PVP01_0810900	117	1149	17	99	0	3
PVP01_0813100	222	1044	14	207	0	36
PVP01_1127000	155	1111	9	145	0	19
PVP01_1233900	258	1008	10	247	0	37
PVP01_0907900	279	987	40	238	0	25
PVP01_1029300	436	830	167	268	0	189
PVP01_0824300	299	967	39	259	0	23
PVP01_0416100	185	1081	10	174	0	7
PVP01_1428900	148	1118	7	140	0	9
PVP01_1203300	24	1242	8	15	0	7
PVP01_0714200	57	1209	8	48	0	6
PVP01_1245800	599	667	294	304	0	56
PVP01_0928100	129	1137	114	14	0	6
PVP01_1224000	667	599	422	244	0	72
PVP01_0726900	131	1135	16	114	0	4
PVP01_1027300	715	551	484	230	0	69
PVP01_1025000	67	1199	15	51	0	5
PVP01_0618100	189	1077	17	171	0	32
PVP01_0709300	120	1146	9	110	0	15
PVP01_0611900	179	1087	16	162	0	4
PVP01_1105300	123	1143	20	102	0	23
PVP01_1303100	20	1246	18	1	0	1
PVP01_1004900	115	1151	10	104	0	19
PVP01_0516300	359	907	76	263	19	51
PVP01_1006600	116	1150	12	103	0	20
PVP01_0814400	611	655	350	260	0	205
PVP01_0926800	714	552	494	219	0	148
PVP01_1307800	48	1218	11	36	0	14
PVP01_1260100	244	1022	34	209	0	26
PVP01_1203000	215	1051	13	201	0	8
PVP01_1105900	88	1178	5	82	0	3
PVP01_1147400	14	1252	4	9	0	4
PVP01_1227400	397	869	111	285	0	62
PVP01_0104000	781	485	558	222	0	60
PVP01_1141000	230	1036	56	173	0	20
PVP01_1236700	678	588	416	261	0	221
PVP01_1433600	104	1162	5	98	0	3
PVP01_1421600	52	1214	13	38	0	10
PVP01_0724900	226	1040	68	157	0	16
PVP01_0530400	19	1247	6	12	0	5
PVP01_0720600	367	899	61	305	0	117
PVP01_1211600	91	1175	5	85	0	19
PVP01_1433400	31	1235	4	26	0	3
PVP01_0423400	1233	33	1081	152	0	27
PVP01_1341400	143	1123	29	113	0	26
PVP01_0605100	13	1253	3	9	0	1
PVP01_1426100	120	1146	5	114	0	6
PVP01_1012700	167	1099	8	158	0	17
PVP01_1122700	133	1133	11	121	0	5
PVP01_0939200	121	1145	50	70	0	5
PVP01_0701800	385	881	49	335	0	140
PVP01_0315300	77	1189	10	66	0	1
PVP01_1309400	349	917	66	282	0	109
PVP01_1469500	415	851	85	329	0	262
PVP01_1320600	532	734	335	196	0	58
PVP01_0531100	47	1219	12	34	0	5
PVP01_0728400	101	1165	14	86	0	10
PVP01_0711700	672	594	463	208	0	47
PVP01_1252000	126	1140	10	115	0	9
PVP01_1013500	112	1154	10	101	0	16
PVP01_1025400	334	932	169	163	1	21
PVP01_0717700	154	1112	12	141	0	4
PVP01_1340500	114	1152	5	108	0	12
PVP01_0418100	201	1065	97	103	0	11
PVP01_1417900	400	866	214	185	0	14
PVP01_0610900	193	1073	141	51	0	8
PVP01_0932900	375	891	52	322	0	149
PVP01_0614900	132	1134	24	107	0	14
PVP01_1454900	87	1179	16	70	0	20
PVP01_1412400	155	1111	9	145	0	4
PVP01_1109300	355	911	51	303	0	113
PVP01_0620300	322	944	93	228	0	61
PVP01_1201900	168	1098	16	151	0	16
PVP01_1120300	46	1220	3	42	0	17
PVP01_1259100	992	274	865	126	0	125
PVP01_0115800	738	528	383	290	65	199
PVP01_1202700	253	1013	46	206	0	47
PVP01_0105900	35	1231	6	28	0	1
PVP01_1232000	352	914	96	255	0	72
PVP01_1326400	160	1106	13	146	0	20
PVP01_1335800	248	1018	17	230	0	39
PVP01_1240400	508	758	257	250	0	153
PVP01_1271000	209	1057	11	197	0	14
PVP01_1254700	79	1187	7	71	0	16
PVP01_1318000	705	561	480	224	0	102
PVP01_1252200	22	1244	3	18	0	10
PVP01_1006500	32	1234	3	28	0	7
PVP01_0923700	965	301	769	195	0	108
PVP01_0519600	279	987	101	177	0	29
PVP01_1115600	45	1221	17	27	0	4
PVP01_0942500	193	1073	17	175	0	13
PVP01_1142400	520	746	246	273	0	15
PVP01_1233200	181	1085	3	177	0	6
PVP01_1211800	18	1248	9	8	0	3
PVP01_1421500	490	776	84	404	1	70
PVP01_1137200	77	1189	7	69	0	9
PVP01_1267900	372	894	85	286	0	151
PVP01_1032900	160	1106	9	150	0	18
PVP01_0512400	11	1255	7	3	0	1
PVP01_0114300	302	964	65	236	0	55
PVP01_1405000	310	956	72	236	1	22
PVP01_1311100	359	907	91	267	0	68
PVP01_1021300	76	1190	8	67	0	3
PVP01_0609600	319	947	131	187	0	35
PVP01_1416300	306	960	220	85	0	6
PVP01_1006200	202	1064	35	166	0	38
PVP01_0925300	68	1198	14	53	0	12
PVP01_1011600	18	1248	3	14	0	7
PVP01_0938300	249	1017	15	233	0	33
PVP01_1107300	183	1083	8	174	0	13
PVP01_0207600	216	1050	91	123	1	21
PVP01_0729600	23	1243	5	17	0	6
PVP01_1450800	204	1062	94	109	0	27
PVP01_1312700	19	1247	8	10	0	10
PVP01_0914200	216	1050	19	196	0	24
PVP01_1320300	345	921	148	196	0	35
PVP01_1017300	378	888	76	301	0	65
PVP01_1018600	546	720	167	378	0	145
PVP01_1209100	118	1148	16	101	0	17
PVP01_1244800	13	1253	2	10	0	4
PVP01_0109100	306	960	37	268	0	36
PVP01_0712400	413	853	138	274	0	71
PVP01_1012300	13	1253	3	9	0	4
PVP01_0905800	127	1139	22	104	0	1
PVP01_1411800	310	956	31	278	0	79
PVP01_1319800	59	1207	10	48	0	13
PVP01_0113000	115	1151	30	84	0	8
PVP01_0421400	343	923	127	215	0	38
PVP01_1007700	84	1182	43	40	0	13
PVP01_1466600	38	1228	6	30	1	7
PVP01_0601900	518	748	307	208	2	59
PVP01_1003400	298	968	26	271	0	67
PVP01_0706100	281	985	30	250	0	59
PVP01_1237100	53	1213	2	50	0	7
PVP01_1106800	9	1257	2	6	0	1
PVP01_0832900	735	531	514	220	0	62
PVP01_0724700	1	1265	0	0	0	2
PVP01_1221900	62	1204	20	41	0	4
PVP01_1334900	132	1134	70	61	0	5
PVP01_1260800	111	1155	13	97	0	22
PVP01_1455200	537	729	187	349	0	214
PVP01_0732800	550	716	215	334	0	78
PVP01_1309100	203	1063	28	174	0	15
PVP01_0719000	394	872	107	286	0	60
PVP01_1254600	480	786	292	187	0	67
PVP01_0711550	16	1250	1	14	0	3
PVP01_0319900	360	906	61	298	0	61
PVP01_1263800	201	1065	17	183	0	33
PVP01_0615700	255	1011	76	178	0	29
PVP01_1401600	91	1175	32	58	0	11
PVP01_0615100	77	1189	5	71	0	8
PVP01_0521400	63	1203	12	50	0	6
PVP01_1224400	95	1171	23	71	0	18
PVP01_0917000	280	986	144	135	0	15
PVP01_0421200	256	1010	20	235	0	40
PVP01_0211100	912	354	590	321	0	104
PVP01_0815500	276	990	78	197	0	59
PVP01_0717000	458	808	242	215	0	55
PVP01_1307600	344	922	33	310	0	130
PVP01_1453100	270	996	65	204	0	21
PVP01_1310600	131	1135	38	92	0	7
PVP01_1452600	197	1069	17	179	0	22
PVP01_0516200	160	1106	28	131	0	24
PVP01_0835500	304	962	28	272	3	86
PVP01_1102400	314	952	39	274	0	60
PVP01_0518100	484	782	261	223	0	47
PVP01_0407500	220	1046	60	159	0	11
PVP01_1236900	166	1100	28	137	0	29
PVP01_0601200	294	972	22	271	0	39
PVP01_1023900	736	530	482	253	0	299
PVP01_1313900	384	882	87	296	0	98
PVP01_0531400	118	1148	51	66	0	6
PVP01_0928500	767	499	525	241	0	162
PVP01_0621300	479	787	162	316	0	189
PVP01_1122000	97	1169	10	86	0	4
PVP01_1015500	376	890	81	294	0	35
PVP01_1111100	91	1175	43	47	0	7
PVP01_0729800	385	881	138	246	0	70
PVP01_0422100	382	884	94	287	0	160
PVP01_0202100	212	1054	54	157	0	26
PVP01_0305300	402	864	153	248	0	85
PVP01_0531700	64	1202	6	57	0	7
PVP01_1425600	199	1067	16	182	0	32
PVP01_1309800	203	1063	16	185	1	32
PVP01_1202200	232	1034	27	204	0	18
PVP01_0927600	15	1251	0	14	0	4
PVP01_0931800	178	1088	10	167	0	14
PVP01_1009600	270	996	60	209	0	32
PVP01_0714100	280	986	37	242	0	4
PVP01_1136300	345	921	161	183	0	55
PVP01_1443000	193	1073	16	176	0	10
PVP01_1407700	350	916	169	180	0	24
PVP01_1018900	1036	230	955	80	0	104
PVP01_1132200	357	909	91	265	0	90
PVP01_0911500	94	1172	9	84	0	5
PVP01_0513000	598	668	322	275	0	26
PVP01_1409000	188	1078	17	170	0	32
PVP01_1245300	46	1220	5	40	0	10
PVP01_1469900	152	1114	14	137	0	10
PVP01_1450700	631	635	429	201	0	66
PVP01_1228100	932	334	801	130	0	154
PVP01_1318800	444	822	142	301	0	132
PVP01_0531600	61	1205	8	52	0	1
PVP01_1306800	46	1220	11	34	0	13
PVP01_1205700	62	1204	5	56	0	8
PVP01_0947400	538	728	222	315	0	375
PVP01_0722600	298	968	75	222	0	39
PVP01_1413800	286	980	29	256	0	68
PVP01_1246200	98	1168	10	87	0	2
PVP01_1408500	109	1157	13	95	0	21
PVP01_1410000	16	1250	4	11	0	7
PVP01_1257300	836	430	606	230	0	49
PVP01_0906700	52	1214	5	46	0	9
PVP01_1114000	107	1159	11	95	0	17
PVP01_0912600	172	1094	22	149	0	36
PVP01_0505100	111	1155	7	103	0	1
PVP01_0709200	286	980	204	81	0	23
PVP01_1248000	87	1179	8	78	0	14
PVP01_0930100	606	660	415	190	0	32
PVP01_0421000	840	426	648	191	0	283
PVP01_1256800	80	1186	9	70	0	11
PVP01_1336300	97	1169	24	72	0	18
PVP01_1267000	591	675	166	424	0	129
PVP01_0111700	120	1146	12	107	0	10
PVP01_1339300	874	392	682	191	0	89
PVP01_1228700	768	498	580	186	1	253
PVP01_1205600	349	917	151	197	0	21
PVP01_1465600	72	1194	6	65	0	5
PVP01_0905700	907	359	322	311	273	165
PVP01_1460600	27	1239	4	22	0	3
PVP01_0310300	367	899	69	297	0	133
PVP01_0941200	348	918	53	294	0	120
PVP01_0837200	257	1009	20	236	0	24
PVP01_0209300	48	1218	9	38	0	16
PVP01_0916900	38	1228	6	31	0	6
PVP01_0320500	159	1107	21	137	0	33
PVP01_1032100	39	1227	3	35	0	3
PVP01_0708400	388	878	132	255	0	60
PVP01_1011300	145	1121	0	144	0	7
PVP01_0713500	16	1250	1	14	0	1
PVP01_0929500	244	1022	35	208	0	12
PVP01_0509100	140	1126	14	125	0	4
PVP01_1108300	270	996	37	232	0	38
PVP01_1304200	245	1021	18	226	0	38
PVP01_1216900	58	1208	7	50	0	7
PVP01_0915800	170	1096	50	119	0	9
PVP01_0908600	709	557	463	244	1	195
PVP01_0522000	126	1140	7	118	0	2
PVP01_0105000	678	588	64	613	0	100
PVP01_0816900	164	1102	10	153	0	20
PVP01_1027500	675	591	333	341	0	290
PVP01_1271200	222	1044	18	203	0	32
PVP01_0712100	296	970	68	227	0	24
PVP01_0317800	566	700	352	213	0	74
PVP01_0411000	1100	166	1018	82	0	48
PVP01_0946800	37	1229	10	26	0	15
PVP01_0936800	93	1173	44	48	0	4
