gene_id	c_exc_s	c_inc_s	c_missing	c_het_calls	c_stop_codon	c_unq_h
PF3D7_1416900	2094	37996	1014	1080	0	71
PF3D7_1145500	13199	26891	5389	7806	4	571
PF3D7_1359500	3129	36961	644	2484	1	195
PF3D7_1428900	21986	18104	14211	7774	1	538
PF3D7_0219200	2771	37319	2316	455	0	4
PF3D7_1440200	14633	25457	8531	6101	1	945
PF3D7_0622600	929	39161	593	336	0	14
PF3D7_0827100	16412	23678	6246	10153	13	1625
PF3D7_1108200	2899	37191	1846	1053	0	29
PF3D7_0108000	2269	37821	1798	471	0	15
PF3D7_1412900	5338	34752	3133	2205	0	92
PF3D7_0713100	22233	17857	9478	12176	579	271
PF3D7_0622200	9724	30366	4806	4916	2	439
PF3D7_1466300	14559	25531	8478	6080	1	391
PF3D7_1436500	11161	28929	5852	5308	1	210
PF3D7_1140400	1547	38543	629	918	0	74
PF3D7_0220700	8196	31894	725	5843	1628	108
PF3D7_1310200	2354	37736	848	1505	1	71
PF3D7_0527400	6803	33287	1479	3760	1564	134
PF3D7_0831500	2825	37265	789	2029	7	136
PF3D7_1108600	10765	29325	6674	4091	0	63
PF3D7_1127800	21193	18897	11365	9827	1	877
PF3D7_0909400	10867	29223	5427	5440	0	540
PF3D7_1241800	17965	22125	12988	4977	0	624
PF3D7_0731100	13616	26474	9720	3896	0	292
PF3D7_1366400	27644	12446	21698	5946	0	1545
PF3D7_0711500	15226	24864	4467	10757	2	323
PF3D7_0616000	36504	3586	36046	458	0	73
PF3D7_0206600	1163	38927	817	346	0	12
PF3D7_1325300	1515	38575	977	538	0	37
PF3D7_0319800	6621	33469	1140	5480	1	242
PF3D7_1462200	591	39499	350	241	0	19
PF3D7_0908100	7654	32436	2566	5088	0	315
PF3D7_1434500	37284	2806	34968	2315	1	1711
PF3D7_0406400	7857	32233	3900	3957	0	50
PF3D7_1302400	2084	38006	906	1178	0	58
PF3D7_1314700	10086	30004	5487	4597	2	386
PF3D7_1005600	22442	17648	13247	6440	2755	727
PF3D7_0602800	13004	27086	1402	11602	0	667
PF3D7_0923400	18831	21259	11698	7131	2	942
PF3D7_1450100	5449	34641	3464	1985	0	78
PF3D7_0406600	988	39102	403	585	0	47
PF3D7_0618500	2372	37718	1332	1040	0	31
PF3D7_1340000	18789	21301	14001	4782	6	596
PF3D7_0929600	6092	33998	4908	1184	0	38
PF3D7_1461300	2215	37875	514	1701	0	1
PF3D7_1460500	39853	237	39430	379	44	68
PF3D7_0220300	5794	34296	1867	3914	13	48
PF3D7_1368100	10321	29769	6442	3879	0	11
PF3D7_1321100	29081	11009	23668	5412	1	2114
PF3D7_0504200	10432	29658	5041	5391	0	201
PF3D7_1314300	5136	34954	2752	2383	1	152
PF3D7_0602700	11994	28096	876	11118	0	343
PF3D7_1008400	5016	35074	3024	1992	0	22
PF3D7_1447400	3118	36972	2124	994	0	71
PF3D7_1340700	11049	29041	10434	615	0	23
PF3D7_1450200	1721	38369	815	906	0	51
PF3D7_0924700	4690	35400	607	4083	0	225
PF3D7_1463600	1287	38803	802	483	2	36
PF3D7_1465700	5909	34181	4068	1841	0	110
PF3D7_0623700	13266	26824	5201	8064	1	836
PF3D7_1129600	23381	16709	17451	5929	1	1020
PF3D7_1010200	19867	20223	13729	6137	1	1620
PF3D7_1239000	7030	33060	3881	3149	0	242
PF3D7_0622100	13574	26516	5473	8096	5	964
PF3D7_1002500	1042	39048	509	533	0	42
PF3D7_1361000	12204	27886	5801	6402	1	482
PF3D7_0315700	7191	32899	4956	2235	0	186
PF3D7_1021400	6868	33222	4927	1941	0	90
PF3D7_1439200	12364	27726	7220	5144	0	791
PF3D7_1449400	21641	18449	15156	6484	1	2193
PF3D7_1422100	2775	37315	987	1788	0	118
PF3D7_1326900	19741	20349	12706	7035	0	620
PF3D7_1473400	9046	31044	2756	6289	1	714
PF3D7_0218300	6631	33459	3199	3432	0	184
PF3D7_0612400	1247	38843	686	561	0	64
PF3D7_1459300	1394	38696	328	729	337	49
PF3D7_1440300	4281	35809	1302	2979	0	179
PF3D7_0104700	8248	31842	3416	4831	1	345
PF3D7_0605400	7475	32615	7066	409	0	51
PF3D7_0905000	4042	36048	1782	2258	2	155
PF3D7_0514200	16648	23442	8310	8162	176	448
PF3D7_0404700	26980	13110	23849	3103	28	348
PF3D7_1367600	5645	34445	1477	4168	0	77
PF3D7_0816600	16024	24066	12055	3968	1	180
PF3D7_1348400	38303	1787	35856	2446	1	667
PF3D7_0624700	9741	30349	3506	6235	0	112
PF3D7_1022900	700	39390	285	415	0	16
PF3D7_0509000	4542	35548	3914	628	0	46
PF3D7_1312300	2530	37560	860	1670	0	136
PF3D7_1138500	11192	28898	4608	6584	0	505
PF3D7_1471800	6057	34033	2905	3152	0	198
PF3D7_1447200	13155	26935	5578	7577	0	383
PF3D7_1247200	3145	36945	1412	1733	0	74
PF3D7_1110800	3326	36764	2650	676	0	93
PF3D7_0424000	9622	30468	4556	5032	34	356
PF3D7_1001800	3420	36670	349	3071	0	99
PF3D7_1003300	949	39141	176	773	0	29
PF3D7_1465800	25097	14993	18854	6238	5	3516
PF3D7_1426000	2384	37706	1808	576	0	11
PF3D7_0530750	1647	38443	1081	565	1	50
PF3D7_1353300	17947	22143	9001	8946	0	2103
PF3D7_0110400	2047	38043	1052	995	0	64
PF3D7_1122500	17189	22901	10141	7047	1	914
PF3D7_1363000	10591	29499	4599	5991	1	831
PF3D7_0724800	9448	30642	5923	3525	0	95
PF3D7_1018700	8639	31451	1636	7002	1	531
PF3D7_0621300	11790	28300	5860	5930	0	546
PF3D7_0314500	1178	38912	635	543	0	57
PF3D7_1116500	2927	37163	1733	1193	1	39
PF3D7_0508300	2778	37312	1734	1044	0	60
PF3D7_0505800	2511	37579	1938	573	0	7
PF3D7_1120500	10424	29666	7851	2513	60	271
PF3D7_1124900	1670	38420	1195	475	0	29
PF3D7_1226000	10058	30032	5007	5051	0	378
PF3D7_0104400	11394	28696	9577	1817	0	154
PF3D7_1032300	10473	29617	1849	8624	0	647
PF3D7_1360400	2796	37294	769	2027	0	233
PF3D7_0515400	14720	25370	10132	4587	1	333
PF3D7_1138800	20793	19297	12686	8107	0	1642
PF3D7_0409200	8552	31538	6304	2247	1	130
PF3D7_0927500	1815	38275	1419	396	0	28
PF3D7_1458100	1127	38963	784	343	0	24
PF3D7_1122000	5824	34266	3901	1923	0	108
PF3D7_0912100	8833	31257	5316	3433	84	305
PF3D7_1337100	5216	34874	4040	1175	1	115
PF3D7_1132300	2286	37804	1592	694	0	28
PF3D7_1033000	13919	26171	5491	8428	0	300
PF3D7_0530800	6038	34052	4495	1542	1	107
PF3D7_1247300	5821	34269	2519	3302	0	306
PF3D7_1313000	572	39518	269	303	0	2
PF3D7_1204000	4614	35476	3210	1404	0	96
PF3D7_1334700	4563	35527	4055	508	0	78
PF3D7_1117900	21416	18674	15787	5629	0	1768
PF3D7_0318300	19463	20627	12033	7430	0	624
PF3D7_1317800	3052	37038	2374	678	0	14
PF3D7_1014300	21054	19036	15309	5745	0	1147
PF3D7_1129700	1135	38955	364	771	0	48
PF3D7_0935400	11937	28153	2208	9727	2	599
PF3D7_1432400	12624	27466	6500	6124	0	615
PF3D7_0903800	17725	22365	9237	8488	0	1247
PF3D7_0616700	6864	33226	1629	5232	3	255
PF3D7_0521300	11027	29063	5532	5495	0	727
PF3D7_0924800	1553	38537	1041	512	0	31
PF3D7_1309400	33103	6987	29019	4082	2	1336
PF3D7_0823700	2766	37324	2024	742	0	23
PF3D7_1415200	2431	37659	2132	291	8	34
PF3D7_0105100	762	39328	133	629	0	52
PF3D7_1239600	8377	31713	3802	4575	0	152
PF3D7_1406500	14715	25375	7325	7389	1	902
PF3D7_0924000	22990	17100	15204	7777	9	819
PF3D7_1317700	3182	36908	278	2904	0	65
PF3D7_1133000	7183	32907	1019	6164	0	20
PF3D7_0823900	3882	36208	2646	1236	0	69
PF3D7_0933300	8228	31862	2873	5355	0	487
PF3D7_0801000	39118	972	37811	1304	3	101
PF3D7_0524500	1191	38899	354	837	0	54
PF3D7_1229400	3480	36610	2666	814	0	30
PF3D7_0302500	40027	63	38645	1382	0	26
PF3D7_1404400	1620	38470	935	685	0	65
PF3D7_1026000	10129	29961	2879	7250	0	347
PF3D7_1435600	18865	21225	10115	8748	2	1439
PF3D7_0611300	2006	38084	1429	573	4	48
PF3D7_0803400	16776	23314	10748	6028	0	551
PF3D7_1334100	10978	29112	3540	7437	1	452
PF3D7_0629400	4582	35508	2231	2351	0	180
PF3D7_1347100	9328	30762	6825	2502	1	180
PF3D7_1208400	14011	26079	6680	7328	3	833
PF3D7_1115600	4251	35839	3045	1206	0	43
PF3D7_0208400	22093	17997	14036	8041	16	1652
PF3D7_0934400	2684	37406	2102	581	1	34
PF3D7_1426600	14181	25909	4696	9485	0	1421
PF3D7_0722300	18559	21531	13645	4914	0	532
PF3D7_1414600	7690	32400	1023	6580	87	241
PF3D7_0816000	4849	35241	1490	3359	0	211
PF3D7_1450400	15060	25030	3673	11385	2	2015
PF3D7_0605300	13586	26504	11362	2224	0	8
PF3D7_1435900	7378	32712	1002	6376	0	100
PF3D7_0323600	11325	28765	4314	7011	0	144
PF3D7_1459700	4056	36034	1615	2439	2	168
PF3D7_1213700	1589	38501	1136	453	0	22
PF3D7_1339900	11426	28664	6079	5347	0	484
PF3D7_1354800	6623	33467	2835	3788	0	371
PF3D7_1130900	19098	20992	13282	5816	0	1058
PF3D7_0303800	8789	31301	5383	3405	1	228
PF3D7_0925300	8192	31898	1174	7018	0	175
PF3D7_1366000	1141	38949	351	790	0	64
PF3D7_1445600	8247	31843	1236	7002	9	512
PF3D7_1250800	19581	20509	12491	7088	2	1276
PF3D7_1013400	13567	26523	6216	7350	1	635
PF3D7_1147400	3214	36876	3023	191	0	14
PF3D7_0419800	1545	38545	199	1346	0	84
PF3D7_1138350	3196	36894	1767	1415	14	69
PF3D7_0815600	3948	36142	2877	1071	0	24
PF3D7_1027900	4197	35893	2986	1211	0	60
PF3D7_1008600	5518	34572	1089	4429	0	248
PF3D7_1146500	5976	34114	974	5002	0	139
PF3D7_0725300	26260	13830	23112	3141	7	275
PF3D7_0927200	18182	21908	8865	9312	5	1160
PF3D7_1207200	24270	15820	15957	8310	3	3038
PF3D7_1406600	12608	27482	4065	8539	4	897
PF3D7_1251700	6940	33150	2106	4834	0	322
PF3D7_1308100	5190	34900	4757	433	0	46
PF3D7_1002600	6477	33613	715	5762	0	424
PF3D7_1103100	1910	38180	1683	227	0	16
PF3D7_1358900	5057	35033	4015	1042	0	90
PF3D7_0308300	8602	31488	903	7699	0	228
PF3D7_0214800	22998	17092	14831	8166	1	1084
PF3D7_0621200	2575	37515	1985	588	2	35
PF3D7_1012200	8780	31310	896	7884	0	140
PF3D7_0820600	2954	37136	545	2408	1	143
PF3D7_1463200	4827	35263	3260	1567	0	47
PF3D7_1455500	12601	27489	3797	8803	1	570
PF3D7_0113000	25863	14227	18803	6893	167	1079
PF3D7_1309600	2868	37222	725	2143	0	120
PF3D7_1457600	8378	31712	621	7757	0	517
PF3D7_0720800	10632	29458	4910	5722	0	67
PF3D7_0316100	2687	37403	810	1876	1	93
PF3D7_1357700	14583	25507	8175	6407	1	991
PF3D7_1146600	15169	24921	4594	10569	6	1227
PF3D7_1445000	6341	33749	3900	2441	0	188
PF3D7_0320900	2607	37483	2359	248	0	5
PF3D7_1350600	9241	30849	1225	8016	0	161
PF3D7_1470000	1475	38615	885	590	0	39
PF3D7_0302800	6220	33870	825	5395	0	236
PF3D7_1251000	3128	36962	1609	1519	0	60
PF3D7_0721600	4298	35792	486	3812	0	18
PF3D7_1307500	686	39404	118	547	21	40
PF3D7_1316700	9025	31065	5389	3627	9	282
PF3D7_0104300	32500	7590	27815	4685	0	2709
PF3D7_0503800	1646	38444	1122	524	0	8
PF3D7_1410700	6824	33266	2979	3845	0	85
PF3D7_0821000	3766	36324	2161	1605	0	62
PF3D7_1033400	6886	33204	1436	5449	1	69
PF3D7_0819200	7639	32451	2848	4788	3	226
PF3D7_0826300	6621	33469	1929	4692	0	321
PF3D7_1467200	13797	26293	9651	4146	0	407
PF3D7_0304800	11744	28346	1913	9831	0	982
PF3D7_0729500	14981	25109	7149	7831	1	384
PF3D7_1248800	2925	37165	2022	903	0	43
PF3D7_1323500	10998	29092	3167	7820	11	279
PF3D7_1246600	8196	31894	2127	6058	11	386
PF3D7_0512400	2936	37154	649	2287	0	123
PF3D7_1446700	9103	30987	2527	6576	0	96
PF3D7_1444100	32398	7692	29074	3323	1	3311
PF3D7_1142900	4751	35339	1214	3536	1	289
PF3D7_1435200	4573	35517	1869	2704	0	216
PF3D7_0110100	31478	8612	29142	2336	0	347
PF3D7_1470950	1171	38919	326	753	92	59
PF3D7_1349800	3473	36617	1389	2084	0	163
PF3D7_1031700	6377	33713	917	5458	2	45
PF3D7_1313200	9217	30873	4162	5055	0	397
PF3D7_0321700	26874	13216	21462	5412	0	1704
PF3D7_0630400	9918	30172	1342	8574	2	144
PF3D7_0420300	28411	11679	20386	8019	6	3548
PF3D7_1205100	10720	29370	6657	4058	5	280
PF3D7_1246400	7195	32895	734	6461	0	50
PF3D7_1107900	12578	27512	5491	7083	4	1027
PF3D7_1451900	13145	26945	5521	7618	6	705
PF3D7_0301800	10932	29158	5435	5497	0	92
PF3D7_1209500	11519	28571	4359	7160	0	579
PF3D7_0902000	11948	28142	2147	9798	3	408
PF3D7_1034400	11307	28783	9069	2238	0	99
PF3D7_1411000	22925	17165	7231	15693	1	1493
PF3D7_0828100	12971	27119	4019	8951	1	1236
PF3D7_0520100	10806	29284	3705	7101	0	318
