gene_id	c_exc_s	c_inc_s	c_missing	c_het_calls	c_stop_codon	c_unq_h
PF3D7_0522800	1048	23378	532	516	0	26
PF3D7_1145900	3993	20433	2150	1842	1	220
PF3D7_0629700	21367	3059	18763	2604	0	886
PF3D7_0107000	1152	23274	762	390	0	12
PF3D7_0822500	1088	23338	450	638	0	51
PF3D7_0802800	4917	19509	1979	2894	44	105
PF3D7_1246500	5975	18451	1142	4832	1	231
PF3D7_1405800	7157	17269	779	6378	0	707
PF3D7_0919700	2010	22416	652	1358	0	88
PF3D7_1034000	4466	19960	1554	2911	1	142
PF3D7_1103600	3251	21175	2140	1111	0	78
PF3D7_0108500	18226	6200	13463	4761	2	269
PF3D7_1441100	3080	21346	2045	1035	0	88
PF3D7_1314200	9396	15030	3097	6295	4	1249
PF3D7_1451800	9613	14813	6140	3472	1	92
PF3D7_0823600	2457	21969	669	1788	0	213
PF3D7_0619900	862	23564	587	275	0	29
PF3D7_1359200	2863	21563	2237	626	0	70
PF3D7_0320400	13969	10457	9444	4525	0	2365
PF3D7_0628500	1091	23335	220	871	0	34
PF3D7_0217900	6086	18340	1521	4564	1	371
PF3D7_0925300	5337	19089	717	4620	0	184
PF3D7_1017400	3576	20850	1093	2482	1	39
PF3D7_1020400	4725	19701	2683	2041	1	263
PF3D7_0526200	6243	18183	1630	4613	0	349
PF3D7_1458600	9561	14865	3294	6255	12	943
PF3D7_0112000	2126	22300	1590	535	1	39
PF3D7_1220000	4447	19979	1355	3092	0	95
PF3D7_0915100	1197	23229	802	392	3	5
PF3D7_1349600	1537	22889	233	1303	1	95
PF3D7_1362000	908	23518	109	799	0	73
PF3D7_1338800	5935	18491	1754	4180	1	246
PF3D7_1017200	4431	19995	3304	1126	1	179
PF3D7_0604800	8184	16242	4864	3320	0	563
PF3D7_1143300	3266	21160	712	2554	0	103
PF3D7_0926700	8108	16318	5481	2627	0	320
PF3D7_1108200	1734	22692	1031	703	0	31
PF3D7_1412600	5569	18857	970	4599	0	168
